ID	Name	Genes	Subsystem
RXN-15878	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase	TD01GL000657	methylerythritol phosphate pathway I
2-AMINOADIPATE-AMINOTRANSFERASE-RXN	alpha-aminoadipate aminotransferase;2-aminoadipatee:2-oxoglutarate aminotransferase;2-aminoadipate-2-oxoglutarate aminotransferase;L-2-aminoadipate aminotransferase	TD01GL003354;TD01GL000862;TD01GL003488;TD01GL003358	L-lysine degradation II (L-pipecolate pathway);L-lysine biosynthesis IV;L-lysine degradation V;L-lysine biosynthesis V;L-lysine degradation XI (mammalian)
UDP-NACMURALGLDAPLIG-RXN	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase;UDP-N-acetylmuramoyl-L-alanyl-D-glutamatemdash2,6-diaminopimelate ligase	TD01GL002306	UDP-N-acetylmuramoyl-pentapeptide biosynthesis III (meso-diaminopimelate containing);UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)
RXN-9031	trans-2,3-dihydro-3-hydroxy-anthranilate isomerase	TD01GL003359	phenazine-1-carboxylate biosynthesis
3.4.11.2-RXN	alanyl aminopeptidase	TD01GL002368	
RXN-19193	butanoate-CoA ligase	TD01GL000570	
D-XYLULOSE-REDUCTASE-RXN	NAD-dependent xylitol dehydrogenase;NAD-xylitol dehydrogenase;NAD+-dependent xylitol dehydrogenase	TD01GL001535	xylitol degradation
RXN-16881	(E)-11-methyl-12-octadec-12-enoate hydroxylase/cyclase	TD01GL000153	10,13-epoxy-11-methyl-octadecadienoate biosynthesis
RXN-17796	acyl-CoA dehydrogenase	TD01GL002124	
RXN0-262	molybdenum cofactor guanylyltransferase	TD01GL003337	guanylyl molybdenum cofactor biosynthesis
RXN-11014	pre-bisucaberin synthetase	TD01GL003570	bisucaberin biosynthesis
RXN-17809	cyclic pyranopterin monophosphate synthase	TD01GL001672	molybdenum cofactor biosynthesis
METHIONINE-RACEMASE-RXN	methionine racemase	TD01GL002444	
RXN0-7349	tRNA U34 hydroxylase	TD01GL003626	
RXN-16807	caffealdehyde 4,5-ring cleavage dioxygenase	TD01GL000217	arabidopyrone biosynthesis
1.8.98.1-RXN	CoB-CoM heterodisulfide reductase	TD01GL000413	coenzyme B/coenzyme M regeneration I (methanophenazine-dependent)
RXN-14382	cysteine :[Thil sulfur-protein cysteine] sulfurtransferase	TD01GL000663	thiazole biosynthesis I (facultative anaerobic bacteria)
RXN-17788	acyl-CoA dehydrogenase	TD01GL002124	
RXN-6383	3-hydroxypropionyl-CoA dehydratase;D-specific acryloyl-CoA hydratase	TD01GL003625	glyoxylate assimilation;3-hydroxypropanoate cycle;3-hydroxypropanoate/4-hydroxybutanate cycle;propanoyl-CoA degradation II;beta-alanine biosynthesis II
3.5.2.17-RXN	hydroxyisourate hydrolase;5-hydroxyisourate hydrolase	TD01GL003479	urate conversion to allantoin I;urate conversion to allantoin III;urate conversion to allantoin II
3.5.1.80-RXN	N-acetylgalactosamine-6-phosphate deacetylase;N-acetylglucosamine-6-phosphate deacetylase	TD01GL001069	N-acetyl-D-galactosamine degradation;D-galactosamine and N-acetyl-D-galactosamine degradation
RXN0-7104	phenylacetyl-CoA thioesterase	TD01GL003532	
1.3.1.2-RXN	dihydrouracil dehydrogenase;dihydropyrimidine dehydrogenase;dihydropyrimidine dehydrogenase (NADP+)	TD01GL003346;TD01GL003347	uracil degradation I (reductive)
RXN-11835	23S rRNA pseudouridine2604 synthase	TD01GL002216	
RXN-11867	tRNA Um32 methyltransferase	TD01GL002062;TD01GL000666	
RXN-9384	O-succinyl-L-homoserine sulfhydrylase	TD01GL001641	
THIOESTER-RXN	Acyl-coenzyme A thioesterase 8;Acyl-coenzyme A thioesterase 9, mitochondrial;acyl-CoA thioesterase;Cytosolic acyl coenzyme A thioester hydrolase	TD01GL002597	acyl-CoA hydrolysis
PHOSPHONOACETALDEHYDE-HYDROLASE-RXN	phosphonoacetaldehyde hydrolase	TD01GL003425	2-aminoethylphosphonate degradation I
LUMAZINESYN-RXN	6,7-dimethyl-8-ribityllumazine synthase	TD01GL002572	flavin biosynthesis III (fungi);flavin biosynthesis II (archaea);flavin biosynthesis I (bacteria and plants)
GAPOXNPHOSPHN-RXN	glyceraldehyde-3-phosphate dehydrogenase;NAD-dependent glyceraldehyde-3-phosphate dehydrogenase;glyceraldehyde 3-phosphate dehydrogenase;NAD+-dependent glyceraldehyde-3-phosphate dehydrogenase	TD01GL001582;TD01GL001290	Entner-Doudoroff pathway I;glycolysis III (from glucose);gluconeogenesis I;glycerol degradation to butanol;glycolysis I (from glucose 6-phosphate);sucrose biosynthesis I (from photosynthesis);Bifidobacterium shunt;heterolactic fermentation;glycolysis II (from fructose 6-phosphate);superpathway of glucose and xylose degradation;gluconeogenesis III;formaldehyde assimilation III (dihydroxyacetone cycle);glycolysis IV (plant cytosol)
LEUCINE--TRNA-LIGASE-RXN	leucinemdashtRNA ligase	TD01GL001596	tRNA charging
RXN0-6677	NADPH-dependent dihydrocurcumin reductase	TD01GL000837;TD01GL000845	curcumin degradation
RXN0-6727	(S)-NADHX dehydratase	TD01GL002381	
L-LACTDEHYDROGFMN-RXN	L-lactate dehydrogenase	TD01GL000070;TD01GL001814	L-lactaldehyde degradation (aerobic)
RXN-1224	UDP-sulfoquinovose:DAG sulfoquinovosyltransferase;sulfoquinovosyldiacylglycerol synthase	TD01GL000249	sulfoquinovosyl diacylglycerol biosynthesis
PHOSPHAGLYPSYN-RXN	phosphatidylglycerolphosphate synthase;CDP-diacylglycerol glycerol-3-phosphate 3-phosphatidyltransferase;CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase;CDP-diacylglycerolmdashglycerol-3-phosphate 3-phosphatidyltransferase	TD01GL001261	type I lipoteichoic acid biosynthesis (S. aureus);cardiolipin biosynthesis II;cardiolipin biosynthesis III;phosphatidylglycerol biosynthesis I (plastidic);phosphatidylglycerol biosynthesis II (non-plastidic);cardiolipin biosynthesis I
RXN0-6562	3-phosphohydroxypyruvate phosphatase	TD01GL001022	
RXN-15089	1-oleoylglycerol lipase	TD01GL001818	monoacylglycerol metabolism (yeast)
RXN-20896	asparagine racemase	TD01GL002444	
7KAPSYN-RXN	8-amino-7-oxononanoate synthase	TD01GL000626	8-amino-7-oxononanoate biosynthesis III
RXN0-6515	16S rRNA m2G966 methyltransferase	TD01GL000497	
CDP-GLUCOSE-46-DEHYDRATASE-RXN	CDP-D-glucose-4,6-dehydratase	TD01GL003262	CDP-4-dehydro-3,6-dideoxy-D-glucose biosynthesis
RXN-14142	dGMP 5'-phosphate phosphohydrolase;dGMP phosphatase	TD01GL002927	
5.3.3.14-RXN	trans-2-decenoyl-[acyl-carrier protein] isomerase;trans-2-decenoyl-ACP isomerase;trans-2-decenoyl-[acyl-carrier-protein] isomerase;(2E)-dec-2-enoyl-[acp] isomerase	TD01GL000148	(5Z)-dodecenoate biosynthesis II;(5Z)-dodecenoate biosynthesis I
RXN0-5390	Cytosolic acyl coenzyme A thioester hydrolase;acyl-CoA thioesterase	TD01GL002008	oleate beta-oxidation;oleate beta-oxidation (thioesterase-dependent, yeast)
RXN-14129	5-fluorocytosine deaminase	TD01GL003351	
RXN-12614	glycine oxidase	TD01GL003211	thiazole biosynthesis II (aerobic bacteria)
ISOCITRATE-DEHYDROGENASE-NAD+-RXN	NAD+-dependent isocitrate dehydrogenase	TD01GL002947	TCA cycle III (animals);TCA cycle II (plants and fungi);L-glutamine biosynthesis III
RXN0-5195	alanyl aminopeptidase	TD01GL002368	
RXN-19306	icotinate-nucleotide--benzimidazole phosphoribosyltransferase	TD01GL001445	5-methylbenzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP
RXN-14090	3'CMP phosphatase;cytidine 3'-phosphate phosphohydrolase;cytidine 3' nucleotidase	TD01GL002927	
2.8.3.7-RXN	succinatemdashcitramalate CoA-transferase	TD01GL003287	
ASPARTATE--TRNA-LIGASE-RXN	aspartyl-tRNAAsp synthetase;aspartatemdashtRNA ligase;aspartyl-tRNA synthetase	TD01GL001882	tRNA charging
RXN-11598	16S rRNA m3U1498 methyltransferase	TD01GL000033	
HOMOGENTISATE-12-DIOXYGENASE-RXN	homogentisate oxygenase;homogentisate 1,2-dioxygenase;homogentisate dioxygenase	TD01GL003549	L-tyrosine degradation I
RXN-17006	lyngbyatoxin A monooxygenase	TD01GL000572	lyngbyatoxin biosynthesis
RXN-19256	D-alanyl-D-alanine carboxypeptidase	TD01GL001567	
RXNQT-4345	2-oxo-6-methylthiohexanoate aminotransferase	TD01GL000590	aliphatic glucosinolate biosynthesis, side chain elongation cycle
R223-RXN	acyl-CoA synthetase;short chain fatty acid CoA ligase;octanoyl-CoA synthetase	TD01GL001319	6-gingerol analog biosynthesis (engineered);octane oxidation
RXN-8163	D-lysine oxidase	TD01GL001899	L-lysine degradation V
RXN-11589	23S rRNA 2'-O-ribose C2498 methyltransferase	TD01GL001306	
HISTPRATPHYD-RXN	phosphoribosyl-ATP pyrophosphatase;phosphoribosyl-ATP pyrophosphohydrolase	TD01GL001846	L-histidine biosynthesis
2.7.8.24-RXN	phosphatidylcholine synthase	TD01GL003357	phosphatidylcholine biosynthesis VI
NACGLCTRANS-RXN	N-acetylglucosaminyl transferase	TD01GL002301	peptidoglycan biosynthesis I (meso-diaminopimelate containing)
2-OCTAPRENYLPHENOL-HYDROX-RXN	2-octaprenylphenol 6-hydroxylase	TD01GL000027	ubiquinol-8 biosynthesis (prokaryotic)
UROCANATE-HYDRATASE-RXN	urocanase	TD01GL002441	L-histidine degradation III;L-histidine degradation VI;L-histidine degradation II;L-histidine degradation I
AMP-NUCLEOSID-RXN	AMP nucleosidase	TD01GL001920	adenosine nucleotides degradation III
3.2.2.23-RXN	DNA-formamidopyrimidine glycosylase	TD01GL000510	
AMINO-CARBOXYMUCONATE-SEMIALDEHYDE-RXN	2-amino-3-carboxymuconate 6-semialdehyde decarboxylase;2-amino 3-carboxymuconate 6-semialdehyde decarboxylase;aminocarboxymuconate-semialdehyde decarboxylase;2-amino-3-carboxymuconate-6-semialdehyde decarboxylase	TD01GL000440	2-amino-3-carboxymuconate semialdehyde degradation to 2-hydroxypentadienoate;2-amino-3-carboxymuconate semialdehyde degradation to glutaryl-CoA;2-nitrobenzoate degradation I
RXN0-3241	isoaspartyl dipeptide hydrolase;isoaspartyl dipeptidase	TD01GL002686	
UREASE-RXN	urease	TD01GL003593;TD01GL003592;TD01GL003594	urea degradation II
RXN0-2281	tRNA 2-selenouridine synthase	TD01GL003192	
RXN0-884	dimethylallyl-diphosphate:NAD(P)+ oxidoreductase	TD01GL003246	methylerythritol phosphate pathway I;methylerythritol phosphate pathway II
RXN-11475	malonyl-CoA methyltransferase	TD01GL000624	8-amino-7-oxononanoate biosynthesis I
RXN-17392	peptidoglycan lytic endotransglycosylase	TD01GL001565;TD01GL002635;TD01GL001768;TD01GL002363	
METHYLGLUTACONYL-COA-HYDRATASE-RXN	methylglutaconyl-CoA hydratase, mitochondrial;3-methylglutaconyl-CoA hydratase	TD01GL002204	ferrichrome A biosynthesis;L-leucine degradation I
METHIONINE--TRNA-LIGASE-RXN	methioninemdashtRNA ligase	TD01GL002012	tRNA charging
RXN0-2023	tRNA-specific 2-thiouridylase	TD01GL001104	tRNA-uridine 2-thiolation and selenation (bacteria)
RXN-8964	succinyl CoA:L-malate CoA transferase	TD01GL003287	3-hydroxypropanoate cycle
RXN-18660	N-acetyl-D-muramate 1-kinase	TD01GL002917	anhydromuropeptides recycling II
ALANINE-DEHYDROGENASE-RXN	alanine dehydrogenase;L-alanine dehydrogenase	TD01GL000513	L-alanine degradation IV
RXN-16813	caffealdehyde 2,3-ring cleavage dioxygenase	TD01GL000217	arabidopyrone biosynthesis
TRNA-PSEUDOURIDINE-SYNTHASE-I-RXN	tRNA pseudouridine38-40 synthase	TD01GL001632	
RXN0-7173	glyoxalase III	TD01GL003120	
RXN-13329	2-iminoacetate deaminase	TD01GL003211	
AIRS-RXN	phosphoribosylaminoimidazole synthetase;phosphoribosylformylglycinamidine cyclo-ligase;phosphoribosylformylglycinamide cyclo-ligase	TD01GL001654	5-aminoimidazole ribonucleotide biosynthesis I;superpathway of 5-aminoimidazole ribonucleotide biosynthesis;5-aminoimidazole ribonucleotide biosynthesis II
RXN-11840	tRNA pseudouridine65 synthase	TD01GL000606	
RXN-12299	trans-2-hexenal reductase;trans-hexenal reductase;trans-2-hexenal reducatase	TD01GL000777	detoxification of reactive carbonyls in chloroplasts;traumatin and (Z)-3-hexen-1-yl acetate biosynthesis
RXN-17701	sulfoquinovosidase	TD01GL002083	sulfoquinovose degradation I
RXN-21018	methylarsenite oxide oxygenase	TD01GL001297	
RXN0-6998	23S rRNA m6A2030 methyltransferase	TD01GL003812	
RXN-16660	L,D-transpeptidase;L,D transpeptidase	TD01GL001580;TD01GL000899;TD01GL001018	peptidoglycan maturation (meso-diaminopimelate containing)
1.2.1.32-RXN	2-aminomuconic 6-semialdehyde dehydrogenase;2-aminomuconate semialdehyde dehydrogenase;2-aminomucoate semialdehyde dehydrogenase;2-aminomuconate 6-semialdehyde dehydrogenase;2-aminomuconate-semialdehyde dehydrogenase	TD01GL000433	2-amino-3-carboxymuconate semialdehyde degradation to 2-hydroxypentadienoate;2-aminophenol degradation;2-amino-3-carboxymuconate semialdehyde degradation to glutaryl-CoA;2-nitrobenzoate degradation I
LEUCYLTRANSFERASE-RXN	leucyl-tRNAmdashprotein transferase	TD01GL001112	N-end rule pathway I (prokaryotic)
RXN-15127	2-iminopropanoate deaminase	TD01GL003750	felinine and 3-methyl-3-sulfanylbutan-1-ol biosynthesis;glutathione-mediated detoxification I;L-methionine biosynthesis II (plants);L-methionine biosynthesis I;D-serine degradation;L-tryptophan degradation II (via pyruvate);purine nucleobases degradation II (anaerobic);L-cysteine degradation II;glycine betaine degradation I;L-serine degradation
CHD-RXN	choline dehydrogenase;choline monooxygenase	TD01GL002123	choline degradation I;glycine betaine biosynthesis I (Gram-negative bacteria)
RXN0-6722	FMN dependent NADH:quinone reductase,	TD01GL002672	
SULFATE-ADENYLYLTRANS-RXN	sulfate adenylyltransferase;ATP sulfurylase	TD01GL002496;TD01GL002416;TD01GL002497;TD01GL002415	dissimilatory sulfate reduction II (to thiosulfate);dissimilatory sulfate reduction I (to hydrogen sufide));assimilatory sulfate reduction III;assimilatory sulfate reduction II;sulfate activation for sulfonation;sulfite oxidation III
L-IDITOL-2-DEHYDROGENASE-RXN	L-iditol dehydrogenase;L-iditol 2-dehydrogenase	TD01GL001535	
RXN-12752	NADHX epimerase	TD01GL002381	NADH repair
ACETOACETYL-COA-HYDROLASE-RXN	acetoacetyl-CoA transferase	TD01GL000277	isopropanol biosynthesis (engineered)
SUPEROX-DISMUT-RXN	superoxide dismutase	TD01GL002253;TD01GL000604	reactive oxygen species degradation;ethylene biosynthesis III (microbes);superoxide radicals degradation
L-PIPECOLATE-OXIDASE-RXN	L-pipecolate oxidase	TD01GL003505	L-lysine degradation II (L-pipecolate pathway);L-lysine degradation V
RXN-12246	xylono-1,5-lactonase	TD01GL002086	D-xylose degradation III;D-xylose degradation V;D-xylose degradation IV
RXN0-6256	2-hydroxyethyldisulfide reductase	TD01GL001002;TD01GL003027	
PEPTIDYLPROLYL-ISOMERASE-RXN	peptidyl-prolyl cis-trans isomerase;Peptidyl-prolyl cis-trans isomerase B	TD01GL002151;TD01GL003247;TD01GL001743;TD01GL001736;TD01GL003281;TD01GL001096	
RXN0-6371	aldose sugar dehydrogenase	TD01GL002884	
KETOGLUTREDUCT-RXN	2-oxoglutarate reductase;2-oxoglutarate reductase ((R)-2-hydroxyglutarate-forming)	TD01GL003628	L-glutamate degradation V (via hydroxyglutarate)
R83-RXN	2-hydroxy-3-keto-5-methylthio-phosphopentene phosphatase;2-hydroxy-3-keto-5-methylthiopentenyl-1- phosphate phosphatase	TD01GL003304	S-methyl-5-thio-alpha-D-ribose 1-phosphate degradation I
RXN-13141	(S)-NADPHX dehydratase	TD01GL002381	
5.3.1.23-RXN	methylthioribose-1-phosphate isomerase;5-methylthioribose-1-phosphate isomerase	TD01GL003302	S-methyl-5-thio-alpha-D-ribose 1-phosphate degradation I;S-methyl-5-thio-alpha-D-ribose 1-phosphate degradation II
FESGSHTHIO-RXN	S-sulfanylglutathione dioxygenase	TD01GL002586	sulfide oxidation III (to sulfite);sulfide oxidation IV (mitochondria);sulfur oxidation I (aerobic)
RXN-14116	1-pyrroline-5-carboxylate dehydrogenase;L-glutamate gamma-semialdehyde dehydrogenase;Delta1-pyrroline-5-carboxylate dehydrogenase	TD01GL001351;TD01GL001349	ethylene biosynthesis II (microbes);L-proline degradation;L-arginine degradation I (arginase pathway)
SERINE--TRNA-LIGASE-RXN	seryl-tRNAser synthetase;L-serine:tRNASer ligase (AMP-forming)	TD01GL001241	tRNA charging
2.3.1.157-RXN	glucosamine-1-phosphate N-acetyltransferase;glucosamine-1-phosphate acetyltransferase	TD01GL003773	anhydromuropeptides recycling I;UDP-N-acetyl-D-glucosamine biosynthesis I
RXN-14149	3D-(3,5/4)-trihydroxycyclohexane-1,2-dione hydrolase	TD01GL003414	myo-inositol degradation I
RXN0-5225	1,6-anhydro-N-acetylmuramoyl-L-alanine amidase	TD01GL003064	anhydromuropeptides recycling I;anhydromuropeptides recycling II
5-OXOPROLINASE-ATP-HYDROLYSING-RXN	5-oxoprolinase;5-oxo-L-prolinase	TD01GL003440;TD01GL003438;TD01GL003439	5-oxo-L-proline metabolism;gamma-glutamyl cycle
RXN-7607	inosine-5'-phosphate phosphohydrolase;IMP 5'-nucleotidase;inosine-5'-phosphate nucleotidase;IMP phosphatase;inosine 5'-phosphate 5' nucleotidase	TD01GL002562	adenosine nucleotides degradation I
RXN0-5375	FMN dependent NADH-azoreductase	TD01GL002672	
RXN0-5189	3 methyl-adenine DNA glycosylase	TD01GL003356	
ORNITHINE-GLU-AMINOTRANSFERASE-RXN	ornithine aminotransferase;ornithine delta-transaminase;ornithine delta-aminotransferase;ornithine-delta-aminotransferase	TD01GL002787	L-proline biosynthesis III (from L-ornithine);L-ornithine degradation II (Stickland reaction);L-Ndelta-acetylornithine biosynthesis;L-citrulline biosynthesis;L-ornithine biosynthesis II;L-arginine degradation I (arginase pathway);L-arginine degradation VI (arginase 2 pathway);L-proline biosynthesis II (from arginine)
RXN-11638	16S rRNA m4C1402 methyltransferase	TD01GL002309	
RXN-8675	uroporphyrinogen-III (C7)-methyltransferase;uroporphyrin-III (C7)-methyltransferase;S-adenosyl-L-methionine:precorrin-1 C-methyltransferase	TD01GL001649;TD01GL000883	cob(II)yrinate a,c-diamide biosynthesis II (late cobalt incorporation);cob(II)yrinate a,c-diamide biosynthesis I (early cobalt insertion);siroheme biosynthesis;factor 430 biosynthesis
3-HYDROXYPROPIONATE-DEHYDROGENASE-RXN	3-hydroxypropionate dehydrogenase;3-hydroxypropanonate dehydrogenase	TD01GL002817	propanoyl-CoA degradation II;acrylate degradation;beta-alanine biosynthesis II
RXN-4314	trans-zeatin riboside monophosphate phosphoribohydrolase	TD01GL000399	trans-zeatin biosynthesis
OCTAPRENYL-METHYL-METHOXY-BENZOQ-OH-RXN	2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase;5-demethoxyubiquinol-8 5-hydroxylase	TD01GL000706	ubiquinol-8 biosynthesis (prokaryotic);ubiquinol-8 biosynthesis (eukaryotic)
RXN1F-20	magnesium chelatase	TD01GL001464	3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent);3,8-divinyl-chlorophyllide a biosynthesis III (aerobic, light independent);3,8-divinyl-chlorophyllide a biosynthesis II (anaerobic)
RXN-19312	1-acyl-lysophospholipase;1-acyl lysophospholipase	TD01GL001207	
3-DEHYDROQUINATE-DEHYDRATASE-RXN	dehydroquinate dehydratase;3-dehydroquinate dehydratase	TD01GL003721	chorismate biosynthesis from 3-dehydroquinate;gallate biosynthesis;quinate degradation II;quinate degradation I
RXN0-5065	hydroxyphenylacetyl-CoA thioesterase	TD01GL003532	
RXN-10699	3-oxoacyl CoA thiolase;3-ketoacyl-CoA thiolase, peroxisomal;OPC8-3-ketoacyl-CoA thiolase	TD01GL000275	jasmonic acid biosynthesis
DNA-LIGASE-NAD+-RXN	DNA ligase	TD01GL000760;TD01GL000056	
RXN-18354	factor-independent urate hydroxylase	TD01GL001373;TD01GL003023	urate conversion to allantoin III
RXN-17951	glyphosate oxidase	TD01GL003211	glyphosate degradation II
R341-RXN	hydrogenobyrinate a,c-diamide synthase	TD01GL001466	cob(II)yrinate a,c-diamide biosynthesis II (late cobalt incorporation)
RXN-19253	D-alanyl-D-alanine carboxypeptidase	TD01GL000214	
ASPARTATEKIN-RXN	aspartokinase;aspartate kinase I;aspartate kinase II;aspartate kinase III	TD01GL000741	dipicolinate biosynthesis;3-dehydroquinate biosynthesis II (archaea);L-methionine biosynthesis IV (archaea);L-lysine biosynthesis I;grixazone biosynthesis;L-lysine biosynthesis VI;L-lysine biosynthesis III;L-lysine biosynthesis II;norspermidine biosynthesis;spermidine biosynthesis II;L-homoserine biosynthesis;ectoine biosynthesis
2.1.1.132-RXN	precorrin-6B (C5,15) methyltransferase	TD01GL001474	
RXN-11576	16S rRNA m2G1207 methyltransferase	TD01GL002424	
RXN-18331	lipoamide reductase	TD01GL001060	
RXN-12560	(3R)-3-hydroxypentanoyl-CoA reductase;hydroxyvaleryl-CoA reductase	TD01GL000448	4-oxopentanoate degradation
RXN-16938	N-acetylmuramoyl-L-alanine amidase	TD01GL002379	
DIHYDROPYRIMIDINASE-RXN	dihydropyrimidinase;dihydrouracil amidohydrolase;5,6-dihydrouracil dihydropyrimidinase;dihydrouracil hydrolase;dihydropyrimidase	TD01GL003345	uracil degradation I (reductive)
RXN-11586	23S rRNA m2A2503 methyltransferase	TD01GL000660	
MYO-INOSOSE-2-DEHYDRATASE-RXN	myo-inosose-2 dehydratase;scyllo-inosose dehydratase	TD01GL003413	myo-inositol degradation I
3.4.13.9-RXN	Xaa-Pro dipeptidase	TD01GL001545	
RXN-19245	deoxyribodipyrimidine photolyase	TD01GL000156	
2-OCTAPRENYL-6-METHOXYPHENOL-HYDROX-RXN	2-octaprenyl-6-methoxyphenol 4-hydroxylase;2-methoxy-6-(all-trans-octaprenyl)phenol 4-hydroxylase	TD01GL000026	ubiquinol-8 biosynthesis (prokaryotic);ubiquinol-8 biosynthesis (eukaryotic)
DIENOYLCOAREDUCT-RXN	2,4-dienoyl-CoA reductase	TD01GL002668	
RXN-20163	thiol-disulfide exchange	TD01GL002041	
RXN-19195	3-pentenoate-CoA ligase	TD01GL000570	
2-OXOPENT-4-ENOATE-HYDRATASE-RXN	2-oxopent-4-enoate hydratase	TD01GL000434	2-hydroxypenta-2,4-dienoate degradation
1.13.11.6-RXN	3-hydroxyanthranilate 3,4-dioxygenase	TD01GL000439	L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde;2-nitrobenzoate degradation I;L-tryptophan degradation XII (Geobacillus);L-tryptophan degradation XI (mammalian, via kynurenine)
RXN-20141	perillate-CoA ligase	TD01GL001316	limonene degradation IV (anaerobic)
UROPORIIIMETHYLTRANSA-RXN	S-adenosyl-L-methionine:uroporphyrinogen-III C-methyltransferase;uroporphyrinogen-III (C2)-methyltransferase;uroporphyrin-III (C2)-methyltransferase	TD01GL001649;TD01GL000883	cob(II)yrinate a,c-diamide biosynthesis II (late cobalt incorporation);cob(II)yrinate a,c-diamide biosynthesis I (early cobalt insertion);siroheme biosynthesis;factor 430 biosynthesis
RXN-12462	16S rRNA (cytidine1409-2'-O)-methyltransferase	TD01GL001209	
RXN0-3182	serine endoprotease	TD01GL002326;TD01GL002231	
RXN-13945	hydroperoxylinolenate reductase	TD01GL002792	
1PFRUCTPHOSN-RXN	1-phosphofructokinase	TD01GL001407	fructose degradation
RXN-8999	ditrans,polycis-undecaprenyl-diphosphate synthase [(2E,6E)-farnesyl-diphosphate specific]	TD01GL000527	di-trans,poly-cis-undecaprenyl phosphate biosynthesis
MHPELY-RXN	4-hydroxy-2-oxovalerate aldolase	TD01GL000436	2-hydroxypenta-2,4-dienoate degradation
R103-RXN	ectoine synthase	TD01GL001857	ectoine biosynthesis
RXN0-2101	selenate reductase	TD01GL003329	
AMINOCYL-TRNA-HYDROLASE-RXN	peptidyl-tRNA hydrolase	TD01GL001182;TD01GL002749	
RXN0-742	5-(carboxyamino)imidazole ribonucleotide synthase	TD01GL002689	inosine-5'-phosphate biosynthesis III;inosine-5'-phosphate biosynthesis I
METHYLCROTONYL-COA-CARBOXYLASE-RXN	3-methylcrotonyl-CoA carboxylase	TD01GL002205;TD01GL002203	L-leucine degradation I
RXN0-7309	dimethylallyl diphosphate pyrophosphatase	TD01GL002419	prenylated FMNH2 biosynthesis
PYRIMSYN1-RXN	phosphomethylpyrimidine synthase	TD01GL000947	4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis
RXN-18708	TusD:TusE sulfurtransferase	TD01GL001826	tRNA-uridine 2-thiolation and selenation (bacteria)
ALLANTOIN-RACEMASE-RXN	allantoin racemase	TD01GL003019	
RXN0-7229	glycolate dehydrogenase	TD01GL003032;TD01GL003030;TD01GL003031	
RXN0-1321	preQ1 tRNA-ribosyltransferase;tRNA-guanine transglycosylase	TD01GL000671	queuosine biosynthesis III (queuosine salvage);queuosine biosynthesis I (de novo)
RXN0-7115	tRNA threonylcarbamoyladenosine dehydratase	TD01GL000607	
PROLINE--TRNA-LIGASE-RXN	prolinemdashtRNA ligase	TD01GL002141	tRNA charging
PROTOPORGENOXI-RXN	protoporphyrinogen IX oxidase;protoporphyrinogen oxidase	TD01GL003797	3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent);3,8-divinyl-chlorophyllide a biosynthesis III (aerobic, light independent);superpathway of heme b biosynthesis from uroporphyrinogen-III;heme b biosynthesis I (aerobic)
RXN0-7067	tRNA U34 carboxymethyltransferase	TD01GL002406	5-(methoxycarbonylmethoxy)uridine biosynthesis
RXN0-7007	tRNA m2A37 methyltransferase	TD01GL000660	
TRANS-2-ENOYL-COA-REDUCTASE-NAD+-RXN	trans-2-enoyl-CoA reductase (NAD+)	TD01GL002790	
ACYL-COA-HYDROLASE-RXN	acyl-coA hydrolase (long chain);Acyl-coenzyme A thioesterase 9, mitochondrial;Cytosolic acyl coenzyme A thioester hydrolase;acyl-CoA thioesterase;S-acyl fatty acid synthase thioesterase, medium chain	TD01GL003728;TD01GL003102	
RXN-16750	8-amino-3,8-dideoxy-D-manno-octulosonate kinase	TD01GL000016	Kdo8N transfer to lipid IVA
RXN-11837	23S rRNA pseudouridine1911/1915/1917 synthase	TD01GL003206	
RXN-9386	glutamyl-tRNAGln synthetase	TD01GL001051	glutaminyl-tRNAgln biosynthesis via transamidation
RXN-13824	precorrin-6B (C15) methyltransferase	TD01GL001474	cob(II)yrinate a,c-diamide biosynthesis II (late cobalt incorporation)
RXN-20952	levoglucosan dehydrogenase	TD01GL003411;TD01GL000917	
RXN-9892	3-chloro-cis,cis-muconate dehalogenase;3-chloro-cis,cis-muconate cycloisomerase;2-chloro-2,5-dihydro-5-oxofuran-2-acetate lyase (decyclizing);chloromuconate cycloisomerase	TD01GL003512	4-chlorocatechol degradation;chlorosalicylate degradation
RXN0-6950	23S rRNA m7G2069 methyltransferase	TD01GL001122	
RXN-15123	2-iminobutanoate deaminase	TD01GL003750	L-methionine degradation II;hypoglycin biosynthesis;L-threonine degradation I;L-isoleucine biosynthesis I (from threonine)
RXN-20478	thymine glycol DNA glycosylase	TD01GL002020	
RXN-16665	L,D-transpeptidase	TD01GL000899	peptidoglycan maturation (meso-diaminopimelate containing)
